,Authors,Abstract
S,Vollner L.; Bieniek D.; Korte F.,"About 100 recently published original papers, reviews, books and other communications concerning cannabis (hashish, marijuana) constituents have been reviewed with the aim of summarizing the status of analytical detection and quantitation. Detailed protocols of standard analytical methods are compared in order to recommend uniform methods for field and forensic samples and also to provide guidance to less experienced analysts in countries where cannabis sativa occurs (T. Maylon. In Big Deal: The Politics of the Illicit Drug Business, the Cannabis Commodity Market, pp. 63-107. Guernsey, London.). Because of its importance, there has been an increasing number of investigations of the chemical, botanical, pharmacological, clinical and sociological aspects of the marijuana (hashish) problem. Since analytical techniques have improved substantially during the last 10 years, many papers have been published containing a variety of methods for detection and quantification of cannabis constituents. Since the analytical situation is becoming increasingly confused and because many of the journals are unavailable in less developed countries, the aim of this paper is to give an overview of existing analytical techniques and to attempt to distinguish practical and effective methods from those which are complex or which provide questionable results. © 1986."
S,Stevenson R.J.; Forsythe L.M.V.; Weatherburn D.,"Lack of information about the stolen goods market has hampered its use by police as a means of controlling burglary rates. This study investigated how the market functions by interviewing 267 imprisoned burglars. It found that burglars used an average of four different methods of disposal. The most common was trading stolen goods directly for drugs - mainly heroin in adults and cannabis in juveniles. Other methods included selling to family/friends, fences, legitimate businesses, pawnbrokers and secondhand dealers. Disposal of stolen goods appeared efficient, profitable and low risk. Many goods were stolen on commission and disposed of quickly, often in under one hour from the burglary. Burglars obtained between 25-33 per cent of the new price for certain stolen goods, earned a median income of AUS$2,000 per week and gave little thought to being caught. Receivers stood to make considerable profits and were also unlikely to be apprehended. The implications of these data for controlling the flow of stolen goods are discussed."
W,"Amiri, S; Monsivais, P; McDonell, MG; Amram, O","Introduction and Aims In states where recreational use of cannabis has been legalised, increasing numbers of cannabis licensed cannabis businesses resulted in concerns about their potential social and health impacts. This study examined spatiotemporal variations in availability of cannabis licensed cannabis businesses (i.e. producers, processors and retailers) in relation to area deprivation in Washington state from 2014 to 2017. Design and Methods Data on licensed cannabis businesses were obtained from the Washington State Liquor and Cannabis Board. The number of licensed cannabis businesses was estimated for Washington's 1446 census tracts. Census tracts were stratified into tertiles based on the Singh's Area Deprivation Index showing socio-economic characteristics of communities (least-deprived, middle-deprived and most-deprived). The Integrated Nested Laplace Approximation approach allowed for the spatial and temporal characterisation of cannabis businesses, accounting for similarities based on neighbouring census tracts. Results The density of all licensed cannabis outlets increased over time. Most-deprived areas have increased likelihood of licensed cannabis outlet density when compared to least-deprived areas. No differences were observed in the likelihood of licensed cannabis outlet density in middle-deprived areas when compared to least-deprived areas. Discussion and Conclusions The results of this study showed disparity with respect to licensed cannabis outlet density in Washington state over time. The findings call for initiatives, policies and research that decrease disparities in cannabis outlet locations."
W,"Matthay, EC; Mousli, LM; Fu, C; Zhang, S; Ponicki, WR; Gruenewald, P; Apollonio, DE; Schmidt, LA","Objectives. To assess whether cannabis control policies that may protect public health were adopted evenly across California localities with differing sociodemographic compositions. Methods. From November 2020 to January 2021, we measured cannabis control policies for 241 localities across California and linked them to data on the characteristics of the communities affected by these policies. We evaluated whether disadvantaged communities were more likely to allow cannabis businesses and less likely to be covered by policies designed to protect public health. Results. Localities with all-out bans on cannabis businesses (65% of localities) were disproportionately high-education (55.8% vs 50.5% with any college) and low-poverty (24.3% vs 34.2%), with fewer Black (4.4% vs 6.9%) and Latinx (45.6% vs 50.3%) residents. Among localities that allowed retail cannabis businesses (28%), there were more cannabis control policies in localities with more high-income and Black residents, although the specific policies varied. Conclusions. Cannabis control policies are unequally distributed across California localities. If these policies protect health, inequities may be exacerbated. Public Health Implications. Uniform adoption of recommended cannabis control policies may help limit any inequitable health impacts of cannabis legalization."
W,"Moreno, MA; Jenkins, M; Binger, K; Kelly, L; Trangenstein, PJ; Whitehill, JM; Jernigan, DH","Objective: Marketing messages can influence adolescents' attitudes and behaviors toward alcohol and tobacco. In the era of legalized cannabis use, retail cannabis companies often use social media marketing on platforms popular among youth. The purpose of this study was to evaluate adherence to state-based regulations for restricted and required content across social media from recreational cannabis businesses. Method: A retrospective content analysis was used to evaluate one year of publicly displayed posts by retail cannabis companies on Facebook and Instagram from four states in which recreational cannabis use is legal (Alaska, Colorado, Oregon, and Washington State). We evaluated restricted content including the following: (a) business practices, such as avoiding discounts/promotions or promoting branded products; (b) modeling cannabis use or overconsumption; (c) youth focused messaging; and (d) health benefits. We evaluated required content including three types of warnings: (a) limiting cannabis use to those age 21 and over, (b) avoiding impaired driving, and (c) describing health risks. Results: A total of 2,660 posts were evaluated from 14 businesses. In the area of restricted content, discounts/promotions were present in approximately 35% of all posts. Another common category was overconsumption, found in 12% of posts. Required content regard-ing warnings was present in less than half of all social media posts. Conclusions: Despite state-based advertising restrictions, recreational cannabis business pages use messages with youth appeal. Required safety message adherence is not typical on social media business pages."
W,"Otañez, M; Grewal, J","In 2020, medical cannabis is legal in thirty-six states and adult use (recreational) cannabis is legal in fifteen, despite cannabis remaining illegal at the federal level. Up to 250,000 individuals work as full-time employees in cannabis. During the COVID-19 pandemic, California, Colorado, and other states deemed medical cannabis business as essential, raising occupational challenges and safety issues for cannabis employees. In 2020, interviews were conducted with Ethan, an extraction lab assistant in Las Vegas; Haylee, a trainer with a cannabis company in Sacramento; and Belinda, a Wisconsin-based occupational health and safety trainer, to showcase concerns and experiences in cannabis workplaces and training programs. Findings from interviews reveal pro-worker activities to promote workplace safety and labor unionism while large multistate operators seek to optimize profits and obstruct workers' rights. Knowledge gained through the interviews contributes to discussions to lessen the potential exposure of the cannabis workforce to COVID 19."
W,"Rychert, M; Emanuel, MA; Wilkins, C","Introduction The establishment of a legal market for medicinal cannabis under the Dangerous Drugs Amendment Act 2015 has positioned Jamaica at the forefront of cannabis law reform in the developing world. Many local cannabis businesses have attracted investment from overseas, including from Canada, US and Europe. Aim To explore the opportunities and risks of foreign investment in an emerging domestic legal cannabis market in a developing country. Methods Thematic analysis of semi-structured face-to-face interviews with 22 key informants (KIs) from the Jamaican government, local cannabis industry, academia and civil society, and field observations of legal and illegal cannabis cultivators. Results KIs from the Jamaican public agencies and domestic cannabis entrepreneurs saw foreign investment as an essential source of capital to finance the start-up costs of legal cannabis businesses. Local cannabis entrepreneurs prioritised investors with the greatest financial resources, brand reputation and export networks. They also considered how allied an investor was with their business vision (e.g., organic cultivation, medical vs. recreational). The key benefits of partnering with a foreign investor included transfer of technical knowledge and financial capital, which enhanced production, quality assurance and seed-to-sale tracking. Some KIs expressed concern over investors' focus on increasing production efficiency and scale at the expense of funding research and development (R&D) and clinical trials. KIs from the local industry, government agencies and civil society highlighted the risks of 'predatory' shareholder agreements and domestic political interference. Concerns were raised about the impact of foreign investment on the diversity of the domestic cannabis sector in Jamaica, including the commitment to transition traditional illegal small-scale cannabis cultivators to the legal sector. Conclusion While foreign investment has facilitated the commercialisation of the cannabis sector in Jamaica, regulatory measures are also needed to protect the domestic industry and support the transition of small-scale illegal cultivators to the legal regime. Foreign investments may alter the economic, social and political determinants of health in transitioning from illegal to legal cannabis market economy."
W,"Rotering, T; Bialous, S; Apollonio, D","Background: The cannabis industry has been described using the commercial determinants of health framework because it seeks to increase sales and profits through efforts to change the political environment. To increase understanding of these cannabis industry's efforts, this study describes cannabis industry campaign contributions in Colorado through an analysis of public records.Methods: We reviewed datasets posted online at the Colorado Secretary of State's Transparent in Contribution and Expenditure Reporting (TRACER) Campaign Finance System. We generated descriptive data on cannabis industry contributions to elections and conducted regressions to identify predictors of contributions, and asso-ciations between lagged contributions and a legislator's cannabis industry score (how closely aligned lawmaker's legislative history is with the cannabis industry from-1 to 1).Results: Between 2005-2021, 429 cannabis-affiliated contributors gave $4,658,385 (2021 inflation-adjusted) to 512 electoral committees. Contributions came primarily from non-profits (45%), businesses (27%), and individuals (25%). After recreational legalization in 2012, contributions from non-profit donors with industry ties gave way to contributions from cannabis businesses, business owners, and lobbyists. Cannabis industry contributions to local and state-wide ballot initiative campaigns historically made up the majority of the industry spending, but contributions to candidate committees more than tripled between the 2009-2010 legislative cycle and the 2019-2020 cycle. From 2017-2020, every $10,000 in lagged campaign donations from cannabis industry affiliated contributors was associated with a 0.245-point increase in a legislator's cannabis industry score (p=0.04).Conclusion: Cannabis-affiliated interests made substantial campaign contributions in Colorado. Public health advocates should monitor industry connections to lawmakers and industry tactics used to mask the source of political contributions. Continued surveillance of the cannabis industry is essential to exposing conflicts of interest and preventing undue industry influence."
W,"Kavousi, P; Giamo, T; Arnold, G; Alliende, M; Huynh, E; Lea, J; Lucine, R; Miller, AT; Webre, A; Yee, A; Champagne-Zamora, A; Taylor, K","This review article assays the scholarly and popular press literature on the opportunities and challenges the growing legalized cannabis industry offers U.S. local governments and communities. Localities are an important focus because in many states with legalized cannabis, local jurisdictions have authority to prevent or condition its cultivation, sale, and use. Opportunities potentially flowing to localities from legalization include increased tax revenues and land values, business expansion, and increased employment; public health and safety benefits; and the potential for legalization to advance social and racial inclusion. Challenges include the possibility that economic benefits will be more limited than anticipated; complex regulatory environments facing local governments and cannabis businesses, possible increases in pollution, blight, and public health and safety concerns; and less advancement of social and racial equity than hoped by advocates. We offer recommendations for scholars investigating cannabis governance concerns and practitioners directly grappling with them."
W,"Beckman, S; Castañeda, X; Rivas, L; Schenker, MB","California is home to a multibillion-dollar cannabis (marijuana) industry, but little is known about the occupational health and safety hazards faced by cannabis workers and even less of the stress, mental health, and coping mechanisms among these workers. Previous research has been based on long-term workers at legal businesses, but most California cannabis is produced and sold unlawfully. There are many seasonal workers whose experiences have not been studied. A qualitative study based on focus group discussions and key informant interviews was performed to understand cannabis workers' experiences, knowledge, and perceptions of occupational hazards. Participants reported sources of stress including production pressure and isolation, and mental health outcomes such as depression and mental fatigue. They described primarily maladaptive coping mechanisms. Unique characteristics of the cannabis industry, including criminalization and isolated, remote farms, make interventions challenging. However, policy approaches that involve community organizations could promote worker health."
W,"Trangenstein, PJ; Whitehill, JM; Jenkins, MC; Jernigan, DH; Moreno, MA","Objective: Health consequences of commercializing nonmedical cannabis remain unclear, but data suggest that youth may encounter unintended risks. This study examined whether cannabis marketing exposure and engagement are associated with problematic cannabis use among adolescents. Method: The analytic sample included 172 lifetime cannabis users (15-19 years old) who lived in one of six states with legalized nonmedical cannabis in 2018. Predictors included having exposure to or engagement with cannabis marketing on Facebook or Instagram, seeing cannabis billboards, owning/likely to own cannabis-branded merchandise, and reporting a favorite cannabis brand. Logistic regression assessed whether these predictors were associated with weekly cannabis use, high-intensity cannabis use, and cannabis use disorder (CUD). Results: Adolescents who saw billboards rarely/sometimes had 5 times the odds of CUD, whereas youth who saw them most/all of the time had 7 times the odds of weekly use and 6 times the odds of CUD. Adolescents who owned/were likely to own branded merchandise had nearly 23 times the odds of weekly use, and those with a favorite brand had 3 times the odds of weekly use and CUD. Adolescents who reported seeing promotions on Instagram rarely/sometimes had 85% lower odds of weekly use, and those who saw them most/all of the time had 93% lower odds. Conclusions: The ways cannabis businesses market their products, especially branding, may affect patterns of underage cannabis use. Future research should test whether these associations persist in longitudinal designs. In the interim, states should consider an approach that offers youth additional means to protect them from cannabis marketing."
W,"Ehrlich, T; Simpson, C; Isaksen, TB","Objectives: The legalization of the production, sale, and possession of cannabis in Washington State in 2012 not only created the framework for a new legal industry, but also for a new regulated labor sector. In addition to typical occupational health and safety hazards associated with chemical and physical exposures, the transition from an illicit to a regulated workplace, the inconsistency between state and federal law, and the production of a unique psychoactive commodity crop that maintains value in the illicit marketplace creates a unique work environment with workplace concerns that are political, economic, and social in nature. Methods: We conducted a combination of semistructured key informant interviews targeted toward employers, focus groups that engaged employees, and an online survey with cannabis business owners and employees to identify concerns relating to worker health and safety. Results: In addition to physical and chemical hazards related to their workplace, workers described health concerns that were a result of social, economic, and political forces facing the transitioning cannabis industry and resulting from an inconsistency between state and federal law. Important themes that emerged from these data included the legal and regulatory environment that the cannabis industry faces, cannabis as an agricultural good, crime, gender, cannabis consumption in the workplace, changing worker demographics, and emerging technologies in this rapidly evolving industry. Conclusions: The unique sociopolitical challenges for occupational health and safety that we identified among cannabis workers in Washington State are especially relevant as other states and nations follow the example of Washington State in legalizing the widespread commercial cultivation, sale, and use of cannabis. As other states and nations legalize, it will be important for employers, public health practitioners, and regulators to recognize how transitioning from an illicit to a legal marketplace impacts worker health. Further, understanding the challenges that result in transitioning a cannabis workforce may be extrapolated in the future to better understand how transitioning other goods and services from an unregulated to a regulated marketplace may impact worker health."
W,"Matthay, EC; Gupta, A; Mousli, L; Schmidt, LA","Objective: The growing availability of cannabis products through home delivery services may affect cannabis-related health out-comes. However, research is impeded by a lack of data measuring the scale of home delivery. Prior research demonstrated that crowdsourced websites can be used to validly enumerate brick-and-mortar cannabis outlets. We piloted an extension of this method to explore the feasibility of measuring availability of cannabis home delivery.Method: We tested implementation of an automated algorithm designed to webscrape data from Weedmaps, the largest crowdsourced website for cannabis retail, to count the number of legal cannabis retailers offering home delivery to the geographic centroid of each Census block group in California. We compared these estimates to the number of brick-and-mortar outlets within each block group. To assess data quality, we conducted follow-up telephone interviews with a subsample of cannabis delivery retailers.Results: We successfully implemented the webscraping. Of the 23,212 block groups assessed, 22,542 (97%) were served by at least one cannabis delivery business. Only 461 block groups (2%) contained one or more brick-and-mortar outlets. In interviews, availability varied dynamically as a function of staffing levels, order sizes, time of day, competition, and demand.Conclusions: Webscraping crowdsourced websites could be a viable method for quantifying rapidly evolving availability of cannabis home delivery. However, key practical and con-ceptual challenges must be overcome to conduct a full-scale validation and develop methodological standards. Acknowledging data limitations, cannabis home delivery appears to be nearly universal in California, whereas availability of brick-and-mortar outlets is limited, underscor-ing the need for research on home delivery. (J. Stud. Alcohol Drugs, 84, 330-334, 2023)"
W,"Charlebois, S; Somogyi, S; Sterling, B","At the time of this study, the Canadian government intends to legalize the use of recreational cannabis. Despite its intentions, the regulatory framework remains ambiguous. Food businesses, with their constant search for growth, are considering launching several food products with cannabis as an ingredient, once the drug is legalized. This study does not look at the health effects of cannabis per se, but rather consumers' perception of cannabis as a food ingredient through the lens of food innovation, if it were to be legalized. It explores several dimensions, including cannabis-infused food products sold in grocery stores and dishes served at restaurants. It evaluates potential times when consumers would consume these products, in addition to their preferred food products. The survey also looks at perceived risks related to specific demographics such as children and pregnant women. The survey assesses both perceived risks and anticipated behaviour in a market in which a former illicit product becomes readily available. The results show that Canadians, although mostly favourable to cannabis's legalization and willing to try cannabis-infused food products, are concerned about health risks the drug represents, especially for young children. Results also suggest that most Canadians do not feel knowledgeable enough to cook with cannabis at home, which opens an opportunity for leaders in the industry. Finally, the study presents limitations and suggested future paths for research."
W,"Beckman, S; Castañeda, X; Rivas, L; Schenker, MB","IntroductionCannabis is a multi-billion-dollar California industry, but little is known about the occupational hazards or health experiences of cannabis cultivation workers. Respiratory and dermal exposures, musculoskeletal hazards, and other agricultural hazards have been identified in previous research. Even in a post-legalization framework, cannabis work is stigmatized and most cannabis is still produced illegally. Qualitative research is essential for establishing rapport with cannabis workers to understand their experiences and concerns. MethodsWe conducted semi-structured discussions with four focus groups including 32 cannabis workers total, and 9 key informants who were workers, industry experts, and business owners or managers. Transcribed results were analyzed to identify key themes on physiological exposures and health effects. ResultsThe majority (81.3%) of focus group participants were seasonal migrant cannabis trimmers. Themes emerged of respiratory and dermal exposures and outcomes, musculoskeletal disorders, and physical hazards including living conditions. Workers reported respiratory symptoms and rashes from exposure to cannabis, mold, and pesticides. Musculoskeletal pain was ubiquitous due to inadequate seating and long shifts performing repetitive tasks. Seasonal workers experienced chronic exposure to cold conditions and unsanitary housing. Management-level interviewees and other industry stakeholders described concerns and experiences that differed from those of workers. DiscussionThe results were consistent with existing research on cannabis worker health, with workers reporting respiratory and dermal exposure and symptoms, musculoskeletal hazards, and physical hazards associated with agricultural work. In addition, we found that workers were affected by substandard living conditions, remote and isolated work environments, and an absence of training."
W,"Sorensen, JL; van Draanen, J; Shingle, M","Background and Objectives Legalization of recreational cannabis is occurring across the United States, with some controversy. To understand the range of issues that can arise when such a policy change is enacted, we examined portrayal of legalization at the local level by studying newspaper articles in Calgary, Alberta, shortly before and after cannabis legalization in Canada. Method We searched the largest-circulation newspaper for cannabis-related items and analyzed for content and slant toward cannabis legalization. Results Among 165 items, business/economics (70.9% of items) and legalization (69.7%) were most frequent, with health only 29.7%. Across all items, the slant was more approval (44.2%) than disapproval (23.0%). Discussion and Conclusions When cannabis was legalized, the local newspaper focused more on economic aspects of legalization rather than about health issues. Further research can determine the generalizability of the findings to other locales and provide comparison as other similar policy changes roll out. Scientific Significance The study provides new information on what happens when drug policies are enacted. Documenting the media portrayal of substance use policies is a promising tool."
W,"Nicholas, W; Washburn, F; Lee, G; Loprieno, D; Greenwell, L; Berg, C","Context: After statewide legalization of recreational cannabis in California, the Los Angeles (LA) County Board of Supervisors requested a health equity impact assessment to inform its decisions on whether and how to regulate cannabis dispensaries in unincorporated areas of LA County. Objective: As part of this assessment, the LA County Department of Public Health compared the retail environments of licensed and unlicensed cannabis dispensaries in different parts of the county, using the Marijuana Retail Surveillance Tool (MRST), a validated instrument piloted in Colorado and Washington. Design: Two waves of observational surveys were conducted, one comparing licensed and unlicensed dispensaries within and near unincorporated areas of LA County and another comparing licensed dispensaries across LA County in areas with varying levels of health advantage according to a neighborhood index measuring social determinants of health. Main Outcome Measures: Dispensaries were compared on measures of product types, promotional activities, security measures, regulatory compliance, and neighborhood context. Results: Unlicensed dispensaries were more likely than licensed dispensaries to sell products in packaging designed to be attractive to children (71.8% vs 10.8%, P < .001) and in non-child-resistant packaging (98.9% vs 15.6%, P < .001) and were more likely allow on-site consumption (60.9% vs 0%, P < .001). Licensed dispensaries showed high compliance with regulations, regardless of whether they were in areas of high or low health advantage. Conclusions: The study points to the importance of efforts to eliminate illicit businesses as part of an overall strategy for regulating cannabis. It also demonstrates that the MRST is a flexible tool for regulatory surveillance and for continuing to study the relationships between cannabis retail environments and potential risks to public health."
W,"Rotering, T; Apollonio, DE","Background: The cannabis industry has an interest in creating a regulatory environment which maximizes profits at the cost of public health, similar to the tobacco, alcohol, and food industries. This study sought to describe the cannabis industry's lobbying activities in the Colorado State Legislature over time.Methods: This retrospective observational study analyzed publicly available lobbying expenditures data from fiscal years (FY) 2010-2021. Measures included inflation-adjusted monthly lobbying expenditures by funder and lobbyist, origin of funding, and lobbyist descriptions of cannabis industry clients. This dataset was supplemented with business license documentation, legislative histories, and public testimony.Results: The cannabis industry spent over $7 million (inflation adjusted) from FY 2010-2021 to lobby the Colorado legislature on 367 bills. Over $800,000 (11% of total cannabis spending) was from out-of-state clients. In 48% of lobbyist reports lobbyists did not disclose their funder's cannabis affiliation, and cannabis organizations used strategies that may have obscured the true amount and source of funding. Lobbyists and agencies concurrently represented the alcohol, tobacco, and cannabis industries, possibly facilitating inter-industry alliances when interests align.Conclusion: The cannabis industry dedicated significant resources towards lobbying the Colorado State Legislature on behalf of policies intended to increase cannabis use. Creating transparency about the relationships between the cannabis industry, related industries, and policymakers is essential to ensure appropriate regulation of cannabis products."
W,"van Draanen, J; Tao, HD; Gupta, S; Liu, S","Background: Infodemiology is an emerging field of research that utilizes user-generated health-related content, such as that found in social media, to help improve public health. Twitter has become an important venue for studying emerging patterns in health issues such as substance use because it can reflect trends in real-time and display messages generated directly by users, giving a uniquely personal voice to analyses. Over the past year, several states in the United States have passed legislation to legalize adult recreational use of cannabis and the federal government in Canada has done the same. There are few studies that examine the sentiment and content of tweets about cannabis since the recent legislative changes regarding cannabis have occurred in North America. Objective: To examine differences in the sentiment and content of cannabis-related tweets by state cannabis laws, and to examine differences in sentiment between the United States and Canada between 2017 and 2019. Methods: In total, 1,200,127 cannabis-related tweets were collected from January 1, 2017, to June 17, 2019, using the Twitter application programming interface. Tweets then were grouped geographically based on cannabis legal status (legal for adult recreational use, legal for medical use, and no legal use) in the locations from which the tweets came. Sentiment scoring for the tweets was done with VADER (Valence Aware Dictionary and sEntiment Reasoner), and differences in sentiment for states with different cannabis laws were tested using Tukey adjusted two-sided pairwise comparisons. Topic analysis to determine the content of tweets was done using latent Dirichlet allocation in Python, using a Java implementation, LdaMallet, with Gensim wrapper. Results: Significant differences were seen in tweet sentiment between US states with different cannabis laws (P=.001 for negative sentiment tweets in fully illegal compared to legal for adult recreational use states), as well as between the United States and Canada (P=.003 for positive sentiment and P=.001 for negative sentiment). In both cases, restrictive state policy environments (eg, those where cannabis use is fully illegal, or legal for medical use only) were associated with more negative tweet sentiment than less restrictive policy environments (eg, where cannabis is legal for adult recreational use). Six key topics were found in recent US tweet contents: fun and recreation (keywords, eg, love, life, high); daily life (today, start, live); transactions (buy, sell, money); places of use (room, car, house); medical use and cannabis industry (business, industry, company); and legalization (legalize, police, tax). The keywords representing content of tweets also differed between the United States and Canada. Conclusions: Knowledge about how cannabis is being discussed online, and geographic differences that exist in these conversations may help to inform public health planning and prevention efforts. Public health education about how to use cannabis in ways that promote safety and minimize harms may be especially important in places where cannabis is legal for adult recreational and medical use."
W,"Pedersen, ER; Firth, C; Parker, J; Shih, RA; Davenport, S; Rodriguez, A; Dunbar, MS; Kraus, L; Tucker, JS; D'Amico, EJ","Background: An increasing number of states have laws for the legal sale of recreational and medical cannabis out of brick-and-mortar storefront locations. Given the proliferation of cannabis outlets and their potential for impact on local economies, neighborhood structures, and individual patterns of cannabis use, it is essential to create practical and thorough methods to capture the location of such outlets for research purposes. However, methods used by researchers vary greatly between studies and often do not include important information about the retailer's license status and storefront signage. Objective: The aim of this study was to find methods for locating and observing cannabis outlets in Los Angeles County after the period when recreational cannabis retailers were granted licenses and allowed to be open for business. Methods: The procedures included searches of online cannabis outlet databases, followed by methods to verify each outlet's name, address, license information, and open status. These procedures, conducted solely online, resulted in a database of 531 outlets. To further verify each outlet's information and collect signage data, we conducted direct observations of the 531 identified outlets. Results: We found that 80.9% (430/531) of these outlets were open for business, of which 37.6% (162/430) were licensed to sell cannabis. Unlicensed outlets were less likely to have signage indicating the store sold cannabis, such as a green cross, which was the most prevalent form of observed signage. Co-use of cannabis and tobacco/nicotine has been found to be a substantial health concern, and we observed that 40.6% (175/430) of cannabis outlets had a tobacco/nicotine outlet within sight of the cannabis outlet. Most (350/430, 81.4%) cannabis outlets were located within the City of Los Angeles, and these outlets were more likely to be licensed than outlets outside the city. Conclusions: The findings of this study suggest that online searches and observational methods are both necessary to best capture accurate and detailed information about cannabis outlets. The methods described here can be applied to other metropolitan areas to more accurately capture the availability of cannabis in an area."
W,"Qatanani, A; Umar, M; Padela, AI","There is growing momentum to legalize medical cannabis across the United States. Positive public attitudes and permissive policies are based on growing anecdotal experiences and medical evidence that enumerate the health benefits of cannabis. Against this backdrop, Muslim stakeholders are (re)-evaluating their stance on the issue for Muslim patients who may benefit from such novel treatments, Muslim physicians who could incorporate the provision of cannabis into practices, and Muslim entrepreneurs who may seek to engage with the pharmaceutical and business aspects of the growing industry. Given this renewed interest, the Fiqh Council of North America (FCNA), a deliberative body comprised of Islamic jurists and medical consultants, examined the medical as well as religious evidence surrounding medical cannabis in order to furnish Muslim Americans with religious guidance. In 2018, they resolved that, while the use of intoxicating substances is proscribed by Islamic law, medical cannabis was permissible for Muslims to use with the following stipulations: Non-psychoactive preparations of cannabis are permitted to treat illnesses for which therapeutic effects of cannabis are certain, and psychoactive preparations are contingently permissible in cases of dire necessity. In this paper we first discuss the deliberative process and ethico-legal rationale brought to bear in furnishing the ruling, and then proceed to critically examine its conceptual gaps, practical limitations, and future implications. Clarifying the nuances around the religious permissibility of medical cannabis is important for Muslim patients and providers whose attitudes and behaviors may be informed by the ruling, as well for stakeholder groups within pharmaceutical and health policy circles who aim to address the needs of the global Muslim community that may stand to benefit from advances in medical cannabis research and therapeutics."
W,"Aliekperova, N; Kosyachenko, K; Kaniura, O","Background: Nowadays, medical cannabis still remains inaccesible for patients in the former Union of Soviet Socialist Republics (USSR). Even registered medicinal products based on herbal or synthetic cannabinoids, like Sativex, are practically unavailable due to their high cost and narrow scope of application (for example, in Lithuania). However, before the absolute prohibition of medical cannabis in the USSR, in line with Single Convention of 1961, the State Pharmacopoeia of the USSR (eighth edition) published monographs on such medicinal products as Herba Cannabis indicae, Extractum Cannabis indicae spissum and Fructus Cannabis, which could be prescribed by physicians with precaution. Objectives: Formation of a holistic approach aimed at the creation of appropriate conditions for the development of medical cannabis market and the improvement of life quality and health of Ukrainian patients. Methods: We analyzed legislation and regulation mechanisms for medical cannabis in the USSR, and the present availability of these products for patients in the former USSR, such as Lithuania, Georgia, Estonia, Russian Federation, and Ukraine. Four hundred thirty-five Ukrainian pharmacy students participated in the quantitative analysis (a survey) that took place on April-May, 2019 at Bogomolets National Medical University (Kyiv, Ukraine). They were surveyed about legalization of medical cannabis in Ukraine, advisability of including cannabis and cannabinoids related data into educational programs, and other issues. Qualitative analysis we applied consisted of the stakeholder analysis and Strength, Weakness, Opportunity, and Threat (SWOT) analysis. We classified the key stakeholders into the patients, healthcare professionals, legislative and regulatory bodies, pharmaceutical companies, pharmacies, etc., and ranked them based on their power and interest in the development of potential medical cannabis market in Ukraine. We also identified their expectations and goals. SWOT analysis allows us to evaluate predictable risks and opportunities, as well as strong and weak aspects of the effective development of medical cannabis industry in Ukraine. Results: According to the survey among pharmacy students, about 80% support the legalization of cannabis for medical purposes. However, two-thirds of them think that there is a risk of illicit turnover. Nearly half of the respondents are not informed or poorly informed about cannabis therapeutic properties. At the same time, nearly 90% consider that materials on medicinal properties of cannabis and cannabinoids should be included in the training program. Nowadays, such stakeholders as legislative and regulatory bodies have the highest power over the development of potential medical cannabis market in Ukraine: more than two million Ukrainian patients still cannot access an effective cannabinoids based treatment There are over 20 thousand children among them suffering from drug-resistant epilepsy due to the lack of adequate legislation. Moreover, a lot of stakeholders with high level of interest, such as growers, manufacturers of cannabidiol (CBD) products, pharmaceutical companies, pharmacies, higher education institutions, even scientists and healthcare professionals are still waiting for the legalization of cannabis for medical and scientific purposes in Ukraine. SWOT analysis shows that present business structures, educational and scientific institutions, regulatory bodies, and the competency of domestic specialists are strong enough to develop a new market of cannabis-based medicinal products in Ukraine. However, a long-term ban on medical cannabis requires more time for creating the entire ecosystem. This market can be quite attractive in Ukraine. It is characterized by high growth rates, low entry barriers and a substantial demand. Yet, its advancement depends significantly on the appropriate regulatory framework, high level of awareness among health professionals and society as a whole, and involvement in scientific study to become a part of the global medical cannabis market. Discussion: The holistic approach is aimed to improve health and life quality of Ukrainian patients through cannabis-based medicinal products. It consists of three components: changes in legislation and regulation procedures; changes to value orientations in society; observance of stakeholders' interests and purposes. Specific recommendations are worked out to realize this approach in Ukraine."
